New Account No,Opportunity ID,New Opportunity Name,Est Completion Month ID,Product Category,Opportunity Stage,Est Opportunity Value
109158855,8-F5JL867,Phase - 5: Reduce waste by a certain amount,117,Services,Stage - 5,13650.0137
110151856,7-F5JL951,Phase - 5: Invest in Total Quality Management,117,Support,Stage - 1,27300.0273
0011111-143,9-F5JL771,Phase - 4: Reduce error rates,118,Labour,Stage - 4,6825.0068
114136860,7-F5JL734,Phase - 6: Improve and maintain workplace safety,110,Project,Stage - 0,13650.0137
115156861,8-F5JL649,Phase - 5: Reduce energy usage per unit of production,117,Labour,Stage - 3,2730.0027
11612862,5-F5JL672,Phase - 5: Capitalize on physical facilities,116,Project,Stage - 5,2730.0027
116147862,7-F5JL964,Phase - 6: Streamline core business processes,120,Services,Stage - 1,1365.0014
121158867,6-F5JL794,Phase - 5: Increase reliability of operations,114,Labour,Stage - 0,13650.0137
121167867,8-NMDO816,Phase - 7: Ensure compliance,117,Project,Stage - 4,6825.0068
122125868,5-NMDO580,Phase - 4: Increase recycling,114,Services,Stage - 1,6825.0068
123116869,9-NMDO592,Phase - 5: Improve reporting and transparency,109,Project,Stage - 5,1365.0014
123126869,6-6MTV572,Phase - 5: Increase community outreach,111,Services,Stage - 5,10000
123127869,7-6MTV939,Phase - 3: Optimize control framework,112,Support,Stage - 0,15000
123133869,7-WCCL719,Phase - 4: Improve technical and analytical skills,118,Labour,Stage - 3,6825.0068
123168869,6-WCCL970,Phase - 7: Improve a certain skill,113,Project,Stage - 0,13650.0137
125112871,7-OLOR724,Phase - 7: Create a performance-focused culture,112,Project,Stage - 3,6825.0068
12512871,7-OLOR799,Phase - 6: Improve productivity with cross-functional teams,113,Services,Stage - 2,1365.0014
127151873,5-PY7U931,Phase - 2: Invest in tools to make staff more productive,109,Project,Stage - 4,1365.0014
128127874,6-PY7U615,Phase - 6: Improve employee retention,116,Services,Stage - 2,13650.0137
128167874,7-PY7U866,Phase - 4: Attract and retain the best people,119,Support,Stage - 1,13650.0137
129164875,9-FZL7627,Phase - 4: Build high-performing teams,115,Labour,Stage - 5,2500
130128876,6-QWVO931,Phase - 4: Maintain alignment across the organization,111,Project,Stage - 4,1365.0014
130134876,7-QWVO827,Phase - 1: Develop leadership abilities and potential of the team,112,Services,Stage - 0,13650.0137
131127877,5-ZLFJ844,Phase - 7: Grow shareholder value,112,Support,Stage - 5,2500
131155877,6-ZLFJ593,Phase - 7: Grow earnings per share,119,Labour,Stage - 4,2500
133124879,5-GFCH825,Phase - 5: Increase revenue,120,Project,Stage - 2,2047.502
134135880,7-GFCH796,Phase - 1: Manage cost,109,Services,Stage - 1,6825.0068
134152880,9-44H3579,Phase - 6: Maintain appropriate financial leverage,112,Support,Stage - 0,5000
13417880,9-44H3554,Phase - 1: Ensure favorable bond ratings,115,Labour,Stage - 4,5000
135113881,8-SDHM734,Phase - 3: Balance the budget,118,Project,Stage - 2,4095.0041
135141881,6-4TZS793,Phase - 1: Ensure financial sustainability,118,Labour,Stage - 5,1365.0014
136141882,9-4TZS891,Phase - 3: Maintain profitability,115,Project,Stage - 2,2047.502
139127885,9-4TZS562,Phase - 2: Diversify and grow revenue streams,109,Services,Stage - 1,2047.502
139137885,5-QE7J650,Phase - 6: Best value for the cost,114,Labour,Stage - 4,1638.0016
13917885,5-C7TB888,Phase - 5: Broad product offering,117,Project,Stage - 1,10000
140138886,5-C7TB759,Phase - 5: Reliable products/services,111,Services,Stage - 2,0
140155886,6-C7TB999,Phase - 2: Cross-sell more products,116,Project,Stage - 3,7000
0014112-113,6-C7TB994,Phase - 2: Increase share of market,111,Services,Stage - 4,1000
141132887,7-PPJM998,Phase - 5: Increase share of wallet,119,Support,Stage - 1,20000
143121889,8-PPJM875,Phase - 3: Partner with customers to provide solutions,116,Labour,Stage - 3,1000
0014315-111,9-PPJM933,Phase - 6: Best service,109,Project,Stage - 5,3917
143153889,7-FSQX796,Phase - 4: Understands my needs,118,Project,Stage - 2,2500
143154889,6-L4CF576,Phase - 6: Most innovative products/services,113,Services,Stage - 0,500
144118890,7-L4CF710,Phase - 2: Differentiate the product,115,Project,Stage - 3,1500
146167892,9-Y6NL683,Phase - 2: Invest a certain amount in innovation,119,Services,Stage - 3,1232
147131893,9-YAID546,Phase - 7: Grow percentage of sales from new products,110,Project,Stage - 1,2000
147138893,7-AY7I810,Phase - 6: Improve or focus research and development (R&D),109,Services,Stage - 1,7964
151143897,8-G5RZ549,Phase - 2: Acquire new customers from innovative offerings,117,Project,Stage - 0,2000
152127898,5-3TSG930,Phase - 6: Great customer service,111,Services,Stage - 4,3000
155117901,9-234Y840,Phase - 7: Improve customer service,109,Services,Stage - 4,11799.0718
0015812-96,8-AEUG782,Phase - 6: Invest in customer management,120,Support,Stage - 3,10146.0551
158178904,8-KNEW766,Phase - 2: Partner with customers to design solutions,110,Labour,Stage - 5,4063.6091
159124905,8-FF5V951,Phase - 5: Improve customer satisfaction,111,Project,Stage - 0,10000
0015913-95,6-UOTA926,Phase - 1: Improve customer retention,120,Services,Stage - 1,13118
159146905,6-UOTA959,Phase - 2: Develop and use a customer database,120,Support,Stage - 3,12431
160151906,9-BT2M994,Phase - 1: Reduce cost by a certain amount annually,119,Labour,Stage - 4,13650.0137
161142907,7-52TU926,Phase - 7: Reduce waste by a certain amount,119,Project,Stage - 3,10000
162136908,9-56EE783,Phase - 2: Invest in Total Quality Management,118,Services,Stage - 2,6825.0068
162142908,8-GITF759,Phase - 2: Reduce error rates,113,Support,Stage - 1,54600.0546
163151909,8-3TTD858,Phase - 1: Improve and maintain workplace safety,115,Labour,Stage - 2,61425.0614
164151910,6-3TTD617,Phase - 5: Reduce energy usage per unit of production,116,Project,Stage - 2,27300.0273
164155910,8-3TTD742,Phase - 7: Capitalize on physical facilities,117,Labour,Stage - 4,27300.0273
0016416-90,8-WRLH960,Phase - 5: Streamline core business processes,112,Project,Stage - 3,2730.0027
165144911,9-WRLH685,Phase - 5: Increase reliability of operations,110,Services,Stage - 0,5460.0055
165156911,6-WRLH556,Phase - 6: Ensure compliance,116,Labour,Stage - 2,6825.0068
165158911,8-WRLH591,Phase - 6: Increase recycling,113,Project,Stage - 1,2730.0027
165171911,7-QHAP688,Phase - 6: Improve reporting and transparency,115,Services,Stage - 2,2730.0027
166134912,9-QHAP922,Phase - 7: Increase community outreach,116,Project,Stage - 4,2730.0027
168115914,6-QHAP976,Phase - 4: Optimize control framework,117,Services,Stage - 5,2730.0027
169165915,7-7AVT699,Phase - 7: Improve technical and analytical skills,110,Support,Stage - 3,1365.0014
170112916,8-7AVT566,Phase - 4: Improve a certain skill,112,Labour,Stage - 3,6825.0068
170133916,8-7AVT820,Phase - 4: Create a performance-focused culture,120,Project,Stage - 4,6825.0068
170138916,9-7AVT893,Phase - 6: Improve productivity with cross-functional teams,109,Project,Stage - 0,1365.0014
170172916,8-Z3BQ684,Phase - 3: Invest in tools to make staff more productive,119,Services,Stage - 2,27300.0273
172125918,7-Z3BQ935,Phase - 6: Improve employee retention,109,Project,Stage - 3,40950.041
172154918,8-NWG7695,Phase - 3: Attract and retain the best people,112,Services,Stage - 5,6825.0068
173126919,5-NWG7650,Phase - 5: Build high-performing teams,113,Project,Stage - 5,4095.0041
176158922,7-NWG7852,Phase - 4: Maintain alignment across the organization,116,Services,Stage - 4,2730.0027
177111923,9-NWG7644,Phase - 5: Develop leadership abilities and potential of the team,115,Project,Stage - 3,13650.0137
177145923,7-FAVR935,Phase - 6: Grow shareholder value,111,Services,Stage - 5,1365.0014
178136924,6-FAVR993,Phase - 2: Grow earnings per share,112,Support,Stage - 4,6825.0068
179151925,9-FAVR922,Phase - 7: Increase revenue,120,Labour,Stage - 4,6825.0068
180136926,9-FAVR853,Phase - 5: Manage cost,110,Project,Stage - 1,1365.0014
18013926,7-UJER815,Phase - 3: Maintain appropriate financial leverage,112,Labour,Stage - 1,1365.0014
181122927,6-UJER681,Phase - 2: Ensure favorable bond ratings,116,Project,Stage - 3,1365.0014
18413930,5-UJER668,Phase - 6: Balance the budget,118,Services,Stage - 5,3412.5034
185128931,5-EYQ2946,Phase - 5: Ensure financial sustainability,116,Labour,Stage - 0,2730.0027
187116933,8-EYQ2974,Phase - 6: Maintain profitability,116,Project,Stage - 1,2730.0027
18715933,9-EYQ2781,Phase - 5: Diversify and grow revenue streams,119,Services,Stage - 3,3412.5034
0018815-66,7-5V67964,Phase - 1: Best value for the cost,114,Project,Stage - 1,2730.0027
189155935,6-5V67799,Phase - 4: Broad product offering,114,Services,Stage - 5,1365.0014
191118937,5-5V67674,Phase - 2: Reliable products/services,111,Support,Stage - 4,2730.0027
193126939,5-MG3B729,Phase - 4: Cross-sell more products,119,Labour,Stage - 0,2730.0027
194143940,7-QUEV875,Phase - 2: Increase share of market,119,Project,Stage - 1,1365.0014
19512941,9-QUEV784,Phase - 2: Increase share of wallet,112,Project,Stage - 3,1365.0014
195142941,7-G43M865,Phase - 7: Partner with customers to provide solutions,111,Services,Stage - 4,34125.0341
195153941,6-S6EJ830,Phase - 4: Best service,119,Project,Stage - 4,13650.0137
197132943,9-5EAS788,Phase - 1: Understands my needs,116,Services,Stage - 0,800
19816944,6-5EAS718,Phase - 3: Most innovative products/services,110,Project,Stage - 0,100
198177944,7-5EAS859,Phase - 5: Differentiate the product,114,Services,Stage - 1,100
199126945,6-CKSE693,Phase - 1: Invest a certain amount in innovation,111,Project,Stage - 4,10000
199145945,8-BF4F909,Phase - 3: Grow percentage of sales from new products,112,Services,Stage - 0,1000
200118946,5-R5R2597,Phase - 7: Improve or focus research and development (R&D),111,Support,Stage - 2,2500
202121948,5-B2IN824,Phase - 6: Acquire new customers from innovative offerings,113,Labour,Stage - 1,5000
202154948,5-B2IN718,Phase - 3: Great customer service,111,Project,Stage - 3,2500
203125949,7-B2IN714,Phase - 6: Improve customer service,116,Labour,Stage - 5,5000
206135952,6-B2IN849,Phase - 5: Invest in customer management,111,Project,Stage - 3,5000
207124953,8-B2IN771,Phase - 1: Partner with customers to design solutions,111,Services,Stage - 5,5000
208123954,5-O6L5834,Phase - 3: Improve customer satisfaction,118,Labour,Stage - 0,6825.0068
20917955,9-PBEO739,Phase - 3: Improve customer retention,117,Project,Stage - 4,800
0021013-44,6-3AWI935,Phase - 6: Develop and use a customer database,116,Services,Stage - 3,10000
211175957,8-BXSU975,Phase - 4: Reduce cost by a certain amount annually,111,Project,Stage - 4,1365.0014
212124958,7-C7PQ929,Phase - 5: Reduce waste by a certain amount,119,Services,Stage - 0,1000
212147958,6-AWBA566,Phase - 7: Invest in Total Quality Management,117,Support,Stage - 5,2000
212158958,8-34TX716,Phase - 6: Reduce error rates,117,Labour,Stage - 1,9555.0096
215115961,8-XOA7592,Phase - 3: Improve and maintain workplace safety,119,Project,Stage - 3,500
216115962,9-ENZR976,Phase - 6: Reduce energy usage per unit of production,119,Project,Stage - 4,500
216116962,9-Y2ZO789,Phase - 5: Capitalize on physical facilities,110,Services,Stage - 0,1365.0014
218133964,6-RONC721,Phase - 2: Streamline core business processes,113,Project,Stage - 3,2500
0021816-36,7-GMKQ736,Phase - 1: Increase reliability of operations,119,Services,Stage - 2,1500
221173967,6-CXVN764,Phase - 4: Ensure compliance,114,Support,Stage - 0,25000
222148968,7-V5NZ836,Phase - 1: Increase recycling,118,Labour,Stage - 3,136.5001
223126969,6-LS2P788,Phase - 1: Improve reporting and transparency,115,Project,Stage - 4,20000
224156970,5-YJOT861,Phase - 3: Increase community outreach,118,Services,Stage - 1,5000
225126971,6-WYSU675,Phase - 7: Optimize control framework,112,Support,Stage - 3,68932.5689
226148972,7-AA7Y987,Phase - 1: Improve technical and analytical skills,115,Labour,Stage - 2,800
227112973,6-AA7Y723,Phase - 6: Improve a certain skill,109,Project,Stage - 3,100
227163973,6-AA7Y596,Phase - 1: Create a performance-focused culture,120,Services,Stage - 3,100
22716973,8-LXCE687,Phase - 1: Improve productivity with cross-functional teams,109,Support,Stage - 2,1000
228146974,6-RFFK570,Phase - 1: Invest in tools to make staff more productive,117,Labour,Stage - 4,1000
230117976,9-LWUU583,Phase - 4: Improve employee retention,118,Project,Stage - 5,5000
230128976,7-IXTV565,Phase - 3: Attract and retain the best people,118,Labour,Stage - 4,5000
231155977,9-IXTV616,Phase - 2: Build high-performing teams,113,Project,Stage - 4,5000
232116978,8-TQ45865,Phase - 6: Maintain alignment across the organization,116,Services,Stage - 2,1450
232136978,9-EQXK947,Phase - 5: Develop leadership abilities and potential of the team,117,Labour,Stage - 3,800
23214978,8-EQXK741,Phase - 4: Grow shareholder value,113,Project,Stage - 4,100
23217978,6-EQXK744,Phase - 7: Grow earnings per share,114,Services,Stage - 2,100
23312979,5-CIMN585,Phase - 5: Increase revenue,110,Project,Stage - 2,1500
234154980,5-CIMN850,Phase - 3: Manage cost,114,Services,Stage - 0,2500
23416980,7-6XIV734,Phase - 1: Maintain appropriate financial leverage,110,Support,Stage - 1,6000
235128981,5-6XIV711,Phase - 7: Ensure favorable bond ratings,117,Labour,Stage - 5,5000
238125984,6-5F7B941,Phase - 1: Balance the budget,120,Project,Stage - 4,5000
239138985,9-HN2I580,Phase - 1: Ensure financial sustainability,119,Project,Stage - 2,1000
241161987,9-SOX5819,Phase - 5: Maintain profitability,117,Services,Stage - 2,1000
243154989,5-GQCI801,Phase - 7: Diversify and grow revenue streams,109,Project,Stage - 4,5000
243168989,8-HHKO552,Phase - 4: Best value for the cost,110,Services,Stage - 1,2730.0027
245112991,7-4ANJ600,Phase - 6: Broad product offering,111,Project,Stage - 4,10000
245115991,7-4ANJ926,Phase - 5: Reliable products/services,113,Services,Stage - 0,5000
24516991,9-AHST682,Phase - 2: Cross-sell more products,112,Project,Stage - 1,500
246155992,6-4MU6626,Phase - 1: Increase share of market,109,Services,Stage - 0,1000
246156992,9-OJR7656,Phase - 2: Increase share of wallet,117,Services,Stage - 2,1000
248121994,9-M6L5738,Phase - 6: Partner with customers to provide solutions,117,Support,Stage - 5,2730.0027
250121996,9-ODOB852,Phase - 6: Best service,120,Labour,Stage - 2,2730.0027
253121999,9-PG44802,Phase - 6: Understands my needs,109,Project,Stage - 2,5000
254146000,5-SUCU549,Phase - 6: Most innovative products/services,110,Services,Stage - 3,1000
254147000,9-4GUP857,Phase - 3: Differentiate the product,114,Support,Stage - 4,2000
254159000,7-YE52619,Phase - 3: Invest a certain amount in innovation,116,Labour,Stage - 0,3412.5034
255135001,6-G67C793,Phase - 3: Grow percentage of sales from new products,109,Project,Stage - 2,13650.0137
255147001,9-XLXL818,Phase - 2: Improve or focus research and development (R&D),109,Services,Stage - 5,5000
260116006,8-7QUN677,Phase - 7: Acquire new customers from innovative offerings,117,Support,Stage - 1,5000
260139006,7-5IXG895,Phase - 6: Great customer service,117,Labour,Stage - 3,5460.0055
260148006,7-7BGF857,Phase - 3: Improve customer service,116,Project,Stage - 3,500
262126008,5-7CPR764,Phase - 2: Invest in customer management,114,Labour,Stage - 2,1000
262155008,7-7CPR593,Phase - 5: Partner with customers to design solutions,113,Project,Stage - 3,1500
265118011,7-7CPR608,Phase - 1: Improve customer satisfaction,116,Services,Stage - 2,750
265141011,7-AY32711,Phase - 1: Improve customer retention,117,Labour,Stage - 5,2388.7524
2671213,7-ZOK5583,Phase - 6: Develop and use a customer database,110,Project,Stage - 3,1699.4267
267128013,7-24BG712,Phase - 1: Reduce cost by a certain amount annually,109,Services,Stage - 2,2000
268122014,7-24BG878,Phase - 1: Reduce waste by a certain amount,112,Project,Stage - 0,1500
268144014,8-GCH7560,Phase - 1: Invest in Total Quality Management,116,Services,Stage - 5,6825.0068
269116015,8-W4WI548,Phase - 7: Reduce error rates,120,Support,Stage - 3,999.181
271148017,7-ODBM898,Phase - 3: Improve and maintain workplace safety,119,Labour,Stage - 0,30000
273154019,5-EYWM801,Phase - 6: Reduce energy usage per unit of production,111,Project,Stage - 0,30000
274117020,9-TROG911,Phase - 7: Capitalize on physical facilities,111,Project,Stage - 1,20000
274122020,6-PGVZ917,Phase - 5: Streamline core business processes,109,Services,Stage - 0,50000
275119021,7-UMDW559,Phase - 3: Increase reliability of operations,118,Project,Stage - 3,50000
277128023,7-UMDW756,Phase - 7: Ensure compliance,114,Services,Stage - 5,50000
279159025,6-UMDW965,Phase - 7: Increase recycling,109,Project,Stage - 1,10000
280119026,8-46WE758,Phase - 3: Improve reporting and transparency,120,Services,Stage - 4,30000
281152027,5-46WE867,Phase - 7: Increase community outreach,115,Project,Stage - 0,30000
2821528,9-46WE924,Phase - 1: Optimize control framework,117,Services,Stage - 3,90000
2821628,5-46WE787,Phase - 7: Improve technical and analytical skills,113,Support,Stage - 2,90000
283136029,6-LK6F865,Phase - 3: Improve a certain skill,114,Labour,Stage - 4,5000
283142029,7-LK6F689,Phase - 4: Create a performance-focused culture,114,Project,Stage - 0,40000
284122030,5-LK6F557,Phase - 6: Improve productivity with cross-functional teams,110,Labour,Stage - 0,20000
284167030,7-H5Y6707,Phase - 2: Invest in tools to make staff more productive,113,Project,Stage - 0,25000
285119031,7-452B856,Phase - 5: Improve employee retention,112,Services,Stage - 1,2500
285147031,7-IWVR847,Phase - 1: Attract and retain the best people,109,Labour,Stage - 0,5000
285156031,5-XHYM566,Phase - 3: Build high-performing teams,118,Project,Stage - 0,10000
2861632,6-XHYM785,Phase - 2: Maintain alignment across the organization,120,Services,Stage - 2,50000
287132033,9-IWZ4732,Phase - 3: Develop leadership abilities and potential of the team,113,Project,Stage - 5,5000
287152033,5-XN63678,Phase - 5: Grow shareholder value,120,Services,Stage - 5,1000
288121034,5-KOH4719,Phase - 7: Grow earnings per share,114,Support,Stage - 2,10000
288137034,8-MUN3597,Phase - 2: Increase revenue,110,Labour,Stage - 3,10000
2881534,5-5LM7604,Phase - 4: Manage cost,117,Project,Stage - 1,1000
291128037,9-2JAK603,Phase - 2: Maintain appropriate financial leverage,118,Project,Stage - 0,9000
291133037,5-F6UR559,Phase - 7: Ensure favorable bond ratings,111,Services,Stage - 5,1000
291143037,9-CBXE660,Phase - 3: Balance the budget,119,Project,Stage - 4,10000
292114038,8-CBXE707,Phase - 7: Ensure financial sustainability,109,Services,Stage - 5,20000
293113039,9-ZXSN955,Phase - 7: Maintain profitability,117,Project,Stage - 2,10000
293116039,7-YP5X950,Phase - 2: Diversify and grow revenue streams,113,Services,Stage - 4,10000
294157040,7-4CK4925,Phase - 4: Best value for the cost,120,Project,Stage - 0,10000
296119042,9-FV2K993,Phase - 2: Broad product offering,110,Services,Stage - 2,20000
297123043,9-UG6Z791,Phase - 2: Reliable products/services,113,Support,Stage - 4,5000
297129043,6-VPPY560,Phase - 4: Cross-sell more products,120,Labour,Stage - 3,10000
297145043,7-KKO6551,Phase - 2: Increase share of market,119,Project,Stage - 4,10000
297169043,7-4GXA840,Phase - 2: Increase share of wallet,116,Labour,Stage - 5,15000
298138044,9-2WAA673,Phase - 3: Partner with customers to provide solutions,118,Project,Stage - 4,5000
2981444,8-NQM7643,Phase - 2: Best service,116,Services,Stage - 2,10000
298156044,9-YD25808,Phase - 2: Understands my needs,112,Labour,Stage - 1,5460.0055
299119045,7-BRXJ717,Phase - 6: Most innovative products/services,118,Project,Stage - 2,8000
300134046,8-ZGZR780,Phase - 2: Differentiate the product,112,Services,Stage - 5,5000
301153047,5-ZGZR739,Phase - 7: Invest a certain amount in innovation,112,Project,Stage - 5,2500
303116049,6-3CNE656,Phase - 5: Grow percentage of sales from new products,112,Services,Stage - 1,5000
305163051,7-72EK559,Phase - 6: Improve or focus research and development (R&D),111,Support,Stage - 4,3412.5034
305165051,7-72EK808,Phase - 7: Acquire new customers from innovative offerings,113,Labour,Stage - 0,1365.0014
306122052,6-KWW5633,Phase - 2: Great customer service,113,Project,Stage - 5,13650.0137
307144053,6-ZMLM818,Phase - 1: Improve customer service,113,Project,Stage - 4,2500
307149053,7-ZMLM946,Phase - 4: Invest in customer management,115,Services,Stage - 0,2500
307172053,7-ZMLM992,Phase - 3: Partner with customers to design solutions,119,Project,Stage - 4,15000
309142055,6-DVKU918,Phase - 2: Improve customer satisfaction,109,Services,Stage - 3,6825.0068
3091655,6-DVKU820,Phase - 6: Improve customer retention,115,Support,Stage - 4,3412.5034
316129062,6-7YHH759,Phase - 2: Develop and use a customer database,113,Labour,Stage - 4,10000
3171163,9-X7WC872,Phase - 5: Reduce cost by a certain amount annually,117,Project,Stage - 4,5000
317158063,5-X7WC929,Phase - 1: Reduce waste by a certain amount,110,Services,Stage - 1,10000
318155064,8-X7WC624,Phase - 2: Invest in Total Quality Management,109,Support,Stage - 1,2500
319136065,7-Q367796,Phase - 3: Reduce error rates,111,Labour,Stage - 5,1365.0014
320132066,8-Q367660,Phase - 5: Improve and maintain workplace safety,112,Project,Stage - 3,6825.0068
320162066,8-ZJGM639,Phase - 7: Reduce energy usage per unit of production,119,Services,Stage - 3,1365.0014
322145068,8-ZJGM914,Phase - 6: Capitalize on physical facilities,109,Support,Stage - 2,1365.0014
322161068,6-ZJGM887,Phase - 3: Streamline core business processes,115,Labour,Stage - 3,3412.5034
323118069,9-RIYY798,Phase - 3: Increase reliability of operations,117,Project,Stage - 3,3412.5034
323122069,5-RIYY736,Phase - 6: Ensure compliance,115,Labour,Stage - 2,3412.5034
3241470,5-W5WD899,Phase - 6: Increase recycling,113,Project,Stage - 5,0
3241770,6-W5WD607,Phase - 6: Improve reporting and transparency,115,Services,Stage - 1,0
325131071,9-W5WD740,Phase - 5: Increase community outreach,111,Labour,Stage - 1,500
325139071,8-W5WD835,Phase - 4: Optimize control framework,114,Project,Stage - 5,3000
326133072,8-UD72761,Phase - 4: Improve technical and analytical skills,112,Services,Stage - 2,5000
327116073,9-UD72870,Phase - 4: Improve a certain skill,111,Project,Stage - 1,5000
328142074,9-7QOZ821,Phase - 5: Create a performance-focused culture,118,Services,Stage - 5,1365.0014
328149074,5-TIWH795,Phase - 7: Improve productivity with cross-functional teams,118,Support,Stage - 5,500
3291275,6-TWMB844,Phase - 6: Invest in tools to make staff more productive,114,Labour,Stage - 2,2730.0027
329179075,5-OHUO596,Phase - 3: Improve employee retention,114,Project,Stage - 5,0
331136077,7-OHUO628,Phase - 4: Attract and retain the best people,120,Project,Stage - 0,2000
331145077,6-S7EP562,Phase - 1: Build high-performing teams,118,Services,Stage - 0,3000
331167077,9-4L3E829,Phase - 1: Maintain alignment across the organization,118,Project,Stage - 2,6825.0068
3321378,7-RFU6572,Phase - 1: Develop leadership abilities and potential of the team,109,Services,Stage - 3,5000
332139078,8-ZFY3572,Phase - 4: Grow shareholder value,111,Project,Stage - 3,10000
332144078,8-IBD4818,Phase - 2: Grow earnings per share,115,Services,Stage - 0,1500
332146078,5-33D5904,Phase - 3: Increase revenue,109,Project,Stage - 1,2500
334137080,7-UWFE769,Phase - 2: Manage cost,109,Services,Stage - 3,2000
335127081,7-UWFE841,Phase - 7: Maintain appropriate financial leverage,116,Services,Stage - 5,2000
335144081,6-VSBU575,Phase - 3: Ensure favorable bond ratings,112,Support,Stage - 4,20000
335147081,8-O5MU711,Phase - 2: Balance the budget,115,Labour,Stage - 2,400
335177081,8-NKC7877,Phase - 7: Ensure financial sustainability,112,Project,Stage - 5,7500
336115082,6-PNF7584,Phase - 3: Maintain profitability,110,Services,Stage - 5,3000
336136082,5-BUD4784,Phase - 7: Diversify and grow revenue streams,118,Support,Stage - 0,75000
336138082,9-CAB6547,Phase - 4: Best value for the cost,118,Labour,Stage - 3,25000
336152082,9-G7WH954,Phase - 4: Broad product offering,111,Project,Stage - 2,2000
337125083,5-PMO2887,Phase - 1: Reliable products/services,110,Services,Stage - 1,32760.0328
3371283,7-PMO2634,Phase - 1: Cross-sell more products,116,Support,Stage - 4,4095.0041
3371783,6-B76S667,Phase - 4: Increase share of market,119,Labour,Stage - 0,4000
338122084,5-B76S961,Phase - 2: Increase share of wallet,116,Project,Stage - 1,4000
340172086,9-AFZZ985,Phase - 2: Partner with customers to provide solutions,112,Labour,Stage - 3,1000
342158088,8-AFZZ833,Phase - 4: Best service,115,Project,Stage - 0,3000
343147089,8-AFZZ726,Phase - 2: Understands my needs,110,Services,Stage - 4,5000
345144091,6-IEKU767,Phase - 2: Most innovative products/services,110,Labour,Stage - 0,2600
347129093,7-4M7D961,Phase - 3: Differentiate the product,111,Project,Stage - 4,4095.0041
348138094,9-DIID972,Phase - 7: Invest a certain amount in innovation,114,Services,Stage - 0,1000
348149094,8-DIID949,Phase - 2: Grow percentage of sales from new products,111,Project,Stage - 2,1000
348172094,6-C3WI773,Phase - 5: Improve or focus research and development (R&D),112,Services,Stage - 1,5000
3491395,5-VSKD728,Phase - 4: Acquire new customers from innovative offerings,109,Support,Stage - 3,1000
3501196,9-JIGW656,Phase - 3: Great customer service,116,Labour,Stage - 3,5000
350146096,6-HHVW885,Phase - 7: Improve customer service,111,Project,Stage - 5,1684.4117
350161096,9-APL3913,Phase - 5: Invest in customer management,117,Project,Stage - 0,1365.0014
352153098,7-U5TM648,Phase - 1: Partner with customers to design solutions,116,Services,Stage - 2,6825.0068
354134100,7-TLUE927,Phase - 6: Improve customer satisfaction,113,Project,Stage - 0,2730.0027
35514101,5-MYLI811,Phase - 5: Improve customer retention,118,Services,Stage - 0,2912.9129
356143102,5-BXA6746,Phase - 6: Develop and use a customer database,118,Project,Stage - 4,1500
358111104,5-BXA6608,Phase - 5: Reduce cost by a certain amount annually,116,Services,Stage - 5,2500
358113104,9-Z47E558,Phase - 5: Reduce waste by a certain amount,120,Project,Stage - 5,1160.2512
358114104,6-ORPG976,Phase - 2: Invest in Total Quality Management,113,Services,Stage - 5,1350
358143104,7-KB3J621,Phase - 3: Reduce error rates,115,Support,Stage - 1,25000
35816104,6-KB3J710,Phase - 4: Improve and maintain workplace safety,117,Labour,Stage - 0,150000
358169104,9-QJT7973,Phase - 3: Reduce energy usage per unit of production,109,Project,Stage - 2,50000
361157107,9-QTAU975,Phase - 3: Capitalize on physical facilities,117,Labour,Stage - 2,1365.0014
362122108,9-YUPH930,Phase - 5: Streamline core business processes,109,Project,Stage - 0,5000
362158108,5-S6MY908,Phase - 2: Increase reliability of operations,118,Services,Stage - 5,9000
363139109,8-S6MY569,Phase - 1: Ensure compliance,113,Labour,Stage - 2,1000
365121111,9-LULO660,Phase - 5: Increase recycling,118,Project,Stage - 4,4000
366112112,6-3IWK938,Phase - 4: Improve reporting and transparency,116,Services,Stage - 5,62790.0628
366116112,5-BOMD708,Phase - 1: Increase community outreach,109,Project,Stage - 0,155000
366124112,6-BOMD841,Phase - 3: Optimize control framework,113,Services,Stage - 3,155000
366144112,9-FRNG810,Phase - 4: Improve technical and analytical skills,119,Support,Stage - 5,6400
366154112,7-XSW7944,Phase - 3: Improve a certain skill,118,Labour,Stage - 5,5000
367138113,9-6GIK780,Phase - 5: Create a performance-focused culture,109,Project,Stage - 3,2866.5029
367144113,9-7V47844,Phase - 7: Improve productivity with cross-functional teams,118,Project,Stage - 5,3000
367162113,9-7V47580,Phase - 7: Invest in tools to make staff more productive,111,Services,Stage - 0,3000
368134114,8-SKLC778,Phase - 1: Improve employee retention,111,Project,Stage - 0,1250
368135114,8-4JYT660,Phase - 4: Attract and retain the best people,111,Services,Stage - 3,800
370134116,9-4JYT795,Phase - 2: Build high-performing teams,115,Project,Stage - 3,100
371122117,9-4JYT804,Phase - 2: Maintain alignment across the organization,110,Services,Stage - 5,100
371142117,7-TNID698,Phase - 1: Develop leadership abilities and potential of the team,113,Project,Stage - 5,5000
372156118,6-TNID885,Phase - 6: Grow shareholder value,112,Services,Stage - 2,1000
373113119,6-TNID969,Phase - 5: Grow earnings per share,110,Support,Stage - 0,1000
373138119,7-N7DG902,Phase - 5: Increase revenue,112,Labour,Stage - 0,5000
374151120,5-SQZF632,Phase - 4: Manage cost,115,Project,Stage - 1,1365.0014
