 New Account No ,New Account Name,Industry,Sector,Account Segment,Account Manager Alias,Segment Manager,Industry Manager
3321378,azzy 2,Professional Services,Data,Priority Commercial,PUMsyta,Stelios F.,Jemma I.
3491395,cent 18,Professional Services,IT Services,Priority PS,ANCkaes,Andrew I.,Jemma I.
62213368,onte 3,Professional Services,Legal Services,Public Sector,GASmaes,John H.,Jemma I.
62913375,soid 12,Professional Services,Other Services,SMB,UNDoces,Tom F.,Jemma I.
70913455,giva 4,Professional Services,Outsourced Services,SMC Comm,UNDtres,Matthew L.,Jemma I.
86013606,dill 17,Professional Services,Software,SMC Education,HITcore,Ben Mk.,Jemma I.
18013926,ivee 2,Retailers,Food Service,Strategic,UNDcece,Bilal G.,Garry N.
18413930,nill 11,Retailers,General Merchandise,SMC Comm,JICmase,Matthew L.,Garry N.
730138476,nile 18,Retailers,Grocery,SMC Education,ROCsyry,Ben Mk.,Garry N.
56313309,file 3,Retailers,Motor Vehicle and Parts Dealers,Strategic,ANHbors,Bilal G.,Garry N.
830134576,anor 9,Retailers,Specialty Retail,Priority PS,CABdiil,Andrew I.,Garry N.
170133916,cent 12,Smart Spaces,Architecture and Engineering,Public Sector,LIBcang,John H.,David B.
319136065,lith 9,Smart Spaces,Construction,SMB,AARanon,Tom F.,David B.
685135431,lium 19,Smart Spaces,Real Estate,Priority Commercial,JEBante,Stelios F.,David B.
140138886,ious 13,Smart Spaces,Water and Sewage,Priority Commercial,UNDulge,Stelios F.,David B.
291143037,micy 4,Telecommunications,Hosters and ISPs,Priority PS,UNDciPs,Andrew I.,Paul P.
851147597,uzzy 9,Telecommunications,Service Providers,Public Sector,LAOcars,John H.,Paul P.
21142767,oder 13,Travel and Transportation,Accommodation,SMB,SOPaqon,Tom F.,Rita R.
576145322,nize 5,Travel and Transportation,Logistics and Trucking,SMC Comm,AARpong,Matthew L.,Rita R.
151143897,nise 3,Travel and Transportation,Transport Services,SMC Education,JACnoes,Ben Mk.,Rita R.
10014846,igen 10,Banking,Banking,Strategic,BECdong,Bilal G.,Tina Q.
757143503,lane 12,Banking,Capital Markets/Securities,SMC Comm,UNDyaes,Matthew L.,Tina Q.
614144360,onte 20,Chemicals,Automotive,SMC Education,SADreve,Ben Mk.,Melina K.
550146296,giva 11,Chemicals,Chemicals,Strategic,UNDprls,Bilal G.,Melina K.
772148518,osis 13,Consumer Goods,Consumer Goods,Priority PS,VIRagds,Andrew I.,Maria J.
514149260,endu 12,Consumer Goods,Food and Beverage,Public Sector,JADmoge,John H.,Maria J.
616143362,mbee 7,Consumer Goods,Wholesale Distribution,SMB,MIMvion,Tom F.,Maria J.
165144911,dous 0,Defenses,National Security,Priority Commercial,PALomty,Stelios F.,Melpo Y.
53147799,lane 9,Energy,Electricity and Gas Services,Priority Commercial,THOaues,Stelios F.,Peter J.
367144113,odle 5,Energy,Mining,Priority PS,UNDfang,Andrew I.,Peter J.
475149221,nder 15,Energy,Oil and Gas,Public Sector,ANCpaas,John H.,Peter J.
23214978,ombu 5,Entertainment and Media,Advertising,SMB,KRFmung,Tom F.,Pan R.
768142514,odeo 16,Entertainment and Media,Broadcasters,SMC Comm,GASidrs,Matthew L.,Pan R.
161142907,afic 12,Entertainment and Media,Publishing,SMC Education,UNDcrng,Ben Mk.,Pan R.
624148370,cent 15,Health,Health Payor,Strategic,KRFyaor,Bilal G.,Ricci M.
98141844,yill 13,Health,Health Provider,SMC Comm,CHPiner,Matthew L.,Ricci M.
53414280,uper 11,Insurance,Insurance Direct,Strategic,ALHvect,Bilal G.,Lena I.
61414360,odel 20,Insurance,Insurance Other,Priority PS,CAGluer,Andrew I.,Lena I.
62614372,cent 18,Libraries and Museums,Libraries and Museums,Public Sector,GABhyms,John H.,Andre D.
72914475,eore 8,Local Government,Public Safety,SMB,UNDkaty,Tom F.,Dan U.
81014556,ible 7,Manufacturing,Automotive,Priority Commercial,MARgeve,Stelios F.,Helen R.
82414570,cent 15,Manufacturing,High Tech and Electronics,Priority Commercial,GABuncs,Stelios F.,Helen R.
83914585,vify 17,National Government,Government Social Programs,Priority PS,DAMarms,Andrew I.,Onur T.
95514701,loid 1,National Government,Justice,Public Sector,MARavce,John H.,Onur T.
96414710,ambo 3,National Government,Public Administration,SMB,KESbeon,Tom F.,Onur T.
394141140,romm 17,National Government,Public Works and Services,SMC Comm,JACmees,Matthew L.,Onur T.
651141397,lend 12,National Government,Resources and Environment,SMC Education,CABhynt,Ben Mk.,Onur T.
328142074,vous 19,National Government,Tax and Revenue,Strategic,JAGcoue,Bilal G.,Onur T.
469142215,mive 12,Nonprofit,Charities and Philanthropic,SMC Comm,TRRviic,Matthew L.,Dexter R.
476142222,nive 5,Nonprofit,Membership Organizations,SMC Education,TOBprns,Ben Mk.,Dexter R.
543142289,afic 5,Pharmaceuticals,Pharmaceuticals,Strategic,DAGpals,Bilal G.,Rob K.
748142494,rent 20,Primary Education,Primary Education,Priority PS,SWIcoon,Andrew I.,Jenna L.
752142498,osis 18,Professional Services,Accounting and Consulting,Public Sector,KAGfong,John H.,Jemma I.
785142531,itri 4,Professional Services,Data,SMB,UNDamta,Tom F.,Jemma I.
850142596,uror 8,Professional Services,IT Services,Priority Commercial,PAMhees,Stelios F.,Jemma I.
873142619,lane 16,Professional Services,Legal Services,Priority Commercial,UNDaues,Stelios F.,Jemma I.
195142941,geyo 19,Professional Services,Other Services,Priority PS,EDUroes,Andrew I.,Jemma I.
657143403,osis 8,Professional Services,Outsourced Services,Public Sector,KAGgees,John H.,Jemma I.
924146670,odeo 19,Professional Services,Software,SMB,UNDanre,Tom F.,Jemma I.
222148968,izzy 18,Retailers,Food Service,SMC Comm,SACbice,Matthew L.,Garry N.
419146165,mozz 11,Retailers,General Merchandise,SMC Education,UNDunse,Ben Mk.,Garry N.
38147784,erer 11,Retailers,Grocery,Strategic,KEShory,Bilal G.,Garry N.
681146427,layo 5,Retailers,Motor Vehicle and Parts Dealers,SMC Comm,MARpers,Matthew L.,Garry N.
159146905,eovu 1,Retailers,Specialty Retail,SMC Education,LKIplil,Ben Mk.,Garry N.
343147089,todo 12,Smart Spaces,Architecture and Engineering,Strategic,PALpang,Bilal G.,David B.
497147243,ivee 0,Smart Spaces,Construction,Priority PS,DAGauon,Andrew I.,David B.
582147328,vive 17,Smart Spaces,Real Estate,Public Sector,TOBscte,John H.,David B.
3147749,tayo 20,Smart Spaces,Water and Sewage,SMB,LEFmoge,Tom F.,David B.
480141226,adoo 16,Telecommunications,Hosters and ISPs,Priority Commercial,ROGtaPs,Stelios F.,Paul P.
24148770,amia 1,Telecommunications,Service Providers,Priority Commercial,KELdirs,Stelios F.,Paul P.
 0003414-220 ,amia 14,Travel and Transportation,Accommodation,Priority PS,UNDskon,Andrew I.,Rita R.
254146000,redo 20,Travel and Transportation,Logistics and Trucking,Public Sector,CABmeng,John H.,Rita R.
965142711,lbor 19,Travel and Transportation,Transport Services,SMB,DAGrees,Tom F.,Rita R.
429145175,quva 10,Banking,Banking,SMC Comm,LKIalng,Matthew L.,Tina Q.
825145571,eita 10,Banking,Capital Markets/Securities,SMC Education,JOMeqes,Ben Mk.,Tina Q.
31147777,odle 4,Chemicals,Automotive,Strategic,CLWeive,Bilal G.,Melina K.
332144078,fend 3,Chemicals,Chemicals,SMC Comm,SWIsels,Matthew L.,Melina K.
335144081,ando 12,Consumer Goods,Consumer Goods,SMC Education,JERsuds,Ben Mk.,Maria J.
228146974,uonu 13,Consumer Goods,Food and Beverage,Strategic,UNDavge,Bilal G.,Maria J.
396147142,imbo 3,Consumer Goods,Wholesale Distribution,Priority PS,UNDduon,Andrew I.,Maria J.
271148017,icee 15,Defenses,National Security,Public Sector,OSSamty,John H.,Melpo Y.
790148536,sise 17,Energy,Electricity and Gas Services,SMB,AARcees,Tom F.,Peter J.
849148595,inte 14,Energy,Mining,Priority Commercial,OSSesng,Stelios F.,Peter J.
974148720,rayo 15,Energy,Oil and Gas,Priority Commercial,GASmias,Stelios F.,Peter J.
7148753,syer 14,Entertainment and Media,Advertising,Priority PS,LEFcong,Andrew I.,Pan R.
102148848,eexo 20,Entertainment and Media,Broadcasters,Public Sector,THOsyrs,John H.,Pan R.
358143104,mitz 5,Entertainment and Media,Publishing,SMB,ALHmeng,Tom F.,Pan R.
104144850,unix 4,Health,Health Payor,SMC Comm,HEJmior,Matthew L.,Ricci M.
297145043,lith 8,Health,Health Provider,SMC Education,HEJmaer,Ben Mk.,Ricci M.
331145077,ious 6,Higher Education,Higher Education,Strategic,JOBpion,Bilal G.,John Y.
6114807,avee 10,Insurance,Insurance Direct,SMC Comm,VIRtect,Matthew L.,Lena I.
575143321,dimm 15,Insurance,Insurance Other,SMC Education,LKIsuer,Ben Mk.,Lena I.
10114847,ozio 6,Libraries and Museums,Libraries and Museums,Strategic,TRRdims,Bilal G.,Andre D.
762142508,erer 20,Manufacturing,Automotive,Public Sector,KRFdeve,John H.,Helen R.
826149572,tize 8,Manufacturing,High Tech and Electronics,SMB,DAMubcs,Tom F.,Helen R.
690141436,rose 15,National Government,Government Social Programs,Priority Commercial,CHSpoms,Stelios F.,Onur T.
136141882,eejo 1,National Government,Justice,Priority Commercial,UNDgace,Stelios F.,Onur T.
135141881,rofy 13,National Government,Public Administration,Priority PS,ALHleon,Andrew I.,Onur T.
55114297,odeo 12,National Government,Public Works and Services,Public Sector,STTpyes,John H.,Onur T.
116147862,ible 19,National Government,Resources and Environment,SMB,KASprnt,Tom F.,Onur T.
406148152,ious 1,National Government,Tax and Revenue,SMC Comm,OSScoue,Matthew L.,Onur T.
556148302,yend 11,Nonprofit,Charities and Philanthropic,SMC Education,ANOciic,Ben Mk.,Dexter R.
328149074,odle 2,Nonprofit,Membership Organizations,Strategic,NICskns,Bilal G.,Dexter R.
509149255,itri 14,Pharmaceuticals,Pharmaceuticals,SMC Comm,UNDlals,Matthew L.,Rob K.
93146839,yive 1,Primary Education,Primary Education,SMC Education,KELkion,Ben Mk.,Jenna L.
2981444,tude 1,Professional Services,Accounting and Consulting,Strategic,SWIpong,Bilal G.,Jemma I.
75014496,sile 18,Professional Services,Data,Priority PS,KESeata,Andrew I.,Jemma I.
382141128,ombo 14,Professional Services,IT Services,Public Sector,PHGdies,John H.,Jemma I.
332146078,mous 14,Professional Services,Legal Services,SMB,JACnees,Tom F.,Jemma I.
371142117,lium 16,Professional Services,Outsourced Services,Priority Commercial,UNDlaes,Stelios F.,Jemma I.
690149436,nive 4,Professional Services,Software,Priority PS,KRFanre,Andrew I.,Jemma I.
307144053,tude 13,Retailers,Food Service,Public Sector,DAGince,John H.,Garry N.
356143102,osis 5,Retailers,General Merchandise,SMB,UNDinse,Tom F.,Garry N.
260148006,royo 9,Retailers,Grocery,SMC Comm,DAPsury,Matthew L.,Garry N.
769149515,enor 6,Retailers,Motor Vehicle and Parts Dealers,SMC Education,LKIelrs,Ben Mk.,Garry N.
716141462,cucy 3,Retailers,Specialty Retail,Strategic,JICveil,Bilal G.,Garry N.
565143311,lile 8,Smart Spaces,Architecture and Engineering,SMC Comm,PALexng,Matthew L.,David B.
612143358,cero 9,Smart Spaces,Construction,SMC Education,SAHdoon,Ben Mk.,David B.
62145808,edel 20,Smart Spaces,Real Estate,Strategic,UNDmute,Bilal G.,David B.
255147001,icee 18,Smart Spaces,Water and Sewage,Priority PS,JADbege,Andrew I.,David B.
446145192,nent 14,Telecommunications,Hosters and ISPs,Public Sector,ALHsoPs,John H.,Paul P.
254147000,pize 17,Telecommunications,Service Providers,SMB,UNDfirs,Tom F.,Paul P.
285147031,nder 17,Travel and Transportation,Accommodation,Priority Commercial,DAPcaon,Stelios F.,Rita R.
366144112,imbo 7,Travel and Transportation,Logistics and Trucking,Priority Commercial,GABisng,Stelios F.,Rita R.
377144123,lore 20,Travel and Transportation,Transport Services,Priority PS,LKItwes,Andrew I.,Rita R.
614146360,kiva 2,Banking,Banking,Public Sector,UNDinng,John H.,Tina Q.
335147081,odoo 5,Banking,Capital Markets/Securities,SMB,DAMskes,Tom F.,Tina Q.
561148307,mile 6,Chemicals,Automotive,SMC Comm,LKIdeve,Matthew L.,Melina K.
61114357,izzy 16,Chemicals,Chemicals,SMC Education,UNDcols,Ben Mk.,Melina K.
350146096,xoid 3,Consumer Goods,Consumer Goods,Strategic,UNDalds,Bilal G.,Maria J.
767146513,nacy 0,Consumer Goods,Food and Beverage,SMC Comm,UNDexge,Matthew L.,Maria J.
465149211,onti 11,Consumer Goods,Wholesale Distribution,SMC Education,CABdyon,Ben Mk.,Maria J.
49144795,omba 15,Defenses,National Security,Strategic,UNDoyty,Bilal G.,Melpo Y.
986144732,oloo 8,Energy,Electricity and Gas Services,Priority PS,UNDdyes,Andrew I.,Peter J.
45144791,cent 7,Energy,Mining,Public Sector,JOMcong,John H.,Peter J.
322145068,aitz 19,Energy,Oil and Gas,SMB,UNDenas,Tom F.,Peter J.
596145342,inti 17,Entertainment and Media,Advertising,Priority Commercial,ELHaing,Stelios F.,Pan R.
646145392,cent 1,Entertainment and Media,Broadcasters,Priority Commercial,UNDgrrs,Stelios F.,Pan R.
678145424,yoyo 9,Entertainment and Media,Publishing,Priority PS,GASfong,Andrew I.,Pan R.
199145945,lemm 4,Health,Health Payor,Public Sector,UNDcror,John H.,Ricci M.
35514101,cent 7,Health,Health Provider,SMB,TOBteer,Tom F.,Ricci M.
570141316,ible 6,Higher Education,Higher Education,SMC Comm,HEJloon,Matthew L.,John Y.
772141518,lend 11,Insurance,Insurance Direct,SMC Education,UNDdoct,Ben Mk.,Lena I.
951147697,nous 5,Insurance,Insurance Other,Strategic,ANOmaer,Bilal G.,Lena I.
379142125,adeo 7,Libraries and Museums,Libraries and Museums,SMC Comm,UNDcyms,Matthew L.,Andre D.
177145923,ondo 7,Local Government,Public Safety,SMC Education,SWIadty,Ben Mk.,Dan U.
855145601,gend 11,Manufacturing,Automotive,Strategic,JAGvove,Bilal G.,Helen R.
162142908,odle 0,Manufacturing,High Tech and Electronics,Priority PS,HAOsucs,Andrew I.,Helen R.
706144452,eril 0,National Government,Government Social Programs,Public Sector,UNDomms,John H.,Onur T.
425147171,erer 16,National Government,Justice,SMB,ALHhyce,Tom F.,Onur T.
665149411,iatz 20,National Government,Public Administration,Priority Commercial,UNDveon,Stelios F.,Onur T.
3241470,lium 5,National Government,Public Works and Services,Priority Commercial,JOBdies,Stelios F.,Onur T.
708141454,afic 3,National Government,Resources and Environment,Priority PS,ROCinnt,Andrew I.,Onur T.
942149688,rijo 19,National Government,Tax and Revenue,Public Sector,JOMzaue,John H.,Onur T.
49148795,bose 6,Nonprofit,Charities and Philanthropic,SMB,UNDpeic,Tom F.,Dexter R.
194143940,cent 17,Nonprofit,Membership Organizations,SMC Comm,PAMsuns,Matthew L.,Dexter R.
345144091,reyo 18,Pharmaceuticals,Pharmaceuticals,SMC Education,VIRsuls,Ben Mk.,Rob K.
753144499,rise 18,Primary Education,Primary Education,Strategic,JAGpron,Bilal G.,Jenna L.
265141011,core 3,Professional Services,Accounting and Consulting,SMC Comm,CABacng,Matthew L.,Jemma I.
90314649,imba 13,Professional Services,Data,SMC Education,UNDsuta,Ben Mk.,Jemma I.
872147618,till 19,Professional Services,IT Services,Strategic,UNDames,Bilal G.,Jemma I.
958147704,urer 3,Professional Services,Legal Services,Priority PS,NIWpoes,Andrew I.,Jemma I.
66147812,idoo 10,Professional Services,Other Services,Public Sector,JERsues,John H.,Jemma I.
283142029,onti 17,Professional Services,Outsourced Services,SMB,LIBepes,Tom F.,Jemma I.
615147361,odle 18,Professional Services,Software,Priority Commercial,UNDmire,Stelios F.,Jemma I.
212147958,ious 2,Retailers,Food Service,Priority Commercial,UNDdece,Stelios F.,Garry N.
76314509,ible 8,Retailers,General Merchandise,Priority PS,BECmise,Andrew I.,Garry N.
563141309,nder 20,Retailers,Grocery,Public Sector,RIBrhry,John H.,Garry N.
309142055,edel 6,Retailers,Motor Vehicle and Parts Dealers,SMB,UNDasrs,Tom F.,Garry N.
226148972,ible 13,Retailers,Specialty Retail,SMC Comm,CABdiil,Matthew L.,Garry N.
307149053,rism 0,Smart Spaces,Architecture and Engineering,SMC Education,KRFming,Ben Mk.,David B.
348149094,jajo 16,Smart Spaces,Construction,Strategic,CHPsuon,Bilal G.,David B.
529149275,nism 10,Smart Spaces,Real Estate,SMC Comm,KELjate,Matthew L.,David B.
987145733,vize 8,Smart Spaces,Water and Sewage,SMC Education,LJAluge,Ben Mk.,David B.
599149345,sill 4,Telecommunications,Hosters and ISPs,Strategic,SWIboPs,Bilal G.,Paul P.
748149494,nder 15,Telecommunications,Service Providers,Priority PS,BECsyrs,Andrew I.,Paul P.
91014656,nose 1,Travel and Transportation,Accommodation,Public Sector,KRFyoon,John H.,Rita R.
977142723,elic 4,Travel and Transportation,Logistics and Trucking,SMB,UNDgeng,Tom F.,Rita R.
6147752,aveo 9,Travel and Transportation,Transport Services,Priority Commercial,UNDfees,Stelios F.,Rita R.
268144014,duyo 9,Banking,Banking,Priority Commercial,ROCqung,Stelios F.,Tina Q.
689145435,nder 0,Banking,Capital Markets/Securities,Priority PS,UNDdues,Andrew I.,Tina Q.
999148745,idoo 6,Chemicals,Automotive,Public Sector,MEBeuve,John H.,Melina K.
858143604,tore 16,Chemicals,Chemicals,SMB,LJAflls,Tom F.,Melina K.
394154140,odle 6,Consumer Goods,Food and Beverage,SMC Education,AARcage,Ben Mk.,Maria J.
681154427,indo 13,Consumer Goods,Wholesale Distribution,Strategic,HAWmeon,Bilal G.,Maria J.
15154761,rvor 14,Defenses,National Security,SMC Comm,UNDquty,Matthew L.,Melpo Y.
63154809,iloo 5,Energy,Electricity and Gas Services,SMC Education,TOBcees,Ben Mk.,Peter J.
202154948,oovu 1,Energy,Mining,Strategic,UNDwing,Bilal G.,Peter J.
495155241,tude 4,Energy,Oil and Gas,Priority PS,OSSzoas,Andrew I.,Peter J.
127151873,conu 3,Entertainment and Media,Advertising,Public Sector,UNDtrng,John H.,Pan R.
905159651,wijo 11,Entertainment and Media,Broadcasters,SMB,RMAecrs,Tom F.,Pan R.
975151721,lcic 4,Entertainment and Media,Publishing,Priority Commercial,PUMkwng,Stelios F.,Pan R.
960158706,edor 10,Health,Health Payor,Priority Commercial,UNDfaor,Stelios F.,Ricci M.
549154295,idoo 18,Health,Health Provider,Priority PS,UNDpeer,Andrew I.,Ricci M.
317158063,cero 4,Higher Education,Higher Education,Public Sector,UNDvion,John H.,John Y.
115156861,uper 3,Insurance,Insurance Direct,SMB,JICbict,Tom F.,Lena I.
898151644,izzy 14,Insurance,Insurance Other,SMC Comm,STTsuer,Matthew L.,Lena I.
906151652,onti 20,Libraries and Museums,Libraries and Museums,SMC Education,PHGqums,Ben Mk.,Andre D.
86151832,rend 5,Local Government,Public Safety,Strategic,LIBidty,Bilal G.,Dan U.
97415720,riva 3,Manufacturing,Automotive,SMC Comm,UNDcove,Matthew L.,Helen R.
18715933,atri 20,Manufacturing,High Tech and Electronics,SMC Education,KRFtrcs,Ben Mk.,Helen R.
179151925,ible 4,National Government,Government Social Programs,Strategic,PAUabms,Bilal G.,Onur T.
622152368,tters4,National Government,Justice,Priority PS,CABfrce,Andrew I.,Onur T.
459156205,4 Letters 5 Letters,National Government,Public Administration,Public Sector,JAD4 on,John H.,Onur T.
709152455,5 Letters Accounting,National Government,Public Works and Services,SMB,UND5 es,Tom F.,Onur T.
845152591,Accounting Adventure,National Government,Resources and Environment,Priority Commercial,JOBAcnt,Stelios F.,Onur T.
654155400,Adventure Animal,National Government,Tax and Revenue,Priority Commercial,JADAdue,Stelios F.,Onur T.
953155699,Animal Apparel,Nonprofit,Charities and Philanthropic,Priority PS,REAAnic,Andrew I.,Dexter R.
287152033,Apparel Art,Nonprofit,Membership Organizations,Public Sector,KELApns,John H.,Dexter R.
780157526,Art Auction,Pharmaceuticals,Pharmaceuticals,SMB,UNDArls,Tom F.,Rob K.
781157527,Auction Automobile,Primary Education,Primary Education,SMC Comm,BECAuon,Matthew L.,Jenna L.
782157528,Automobile Beauty,Professional Services,Accounting and Consulting,SMC Education,ALHAung,Ben Mk.,Jemma I.
362158108,Beauty Business,Professional Services,Data,Strategic,JOMBeta,Bilal G.,Jemma I.
871152617,Business Cellular,Professional Services,IT Services,SMC Comm,MITBues,Matthew L.,Jemma I.
160151906,Cellular Children,Professional Services,Legal Services,SMC Education,JOMCees,Ben Mk.,Jemma I.
163151909,Children Collaboration,Professional Services,Other Services,Strategic,UNDChes,Bilal G.,Jemma I.
164151910,Collaboration Construction,Professional Services,Outsourced Services,Priority PS,UNDCoes,Andrew I.,Jemma I.
950156696,Construction Consulting,Professional Services,Software,Public Sector,ANBCore,John H.,Jemma I.
134152880,Consulting Creative,Retailers,Food Service,SMB,DAMCoce,Tom F.,Garry N.
609153355,Creative Dating,Retailers,General Merchandise,Priority Commercial,NIWCrse,Stelios F.,Garry N.
387155133,Dating Design,Retailers,Grocery,Priority Commercial,UNDDary,Stelios F.,Garry N.
393155139,Design Download,Retailers,Motor Vehicle and Parts Dealers,Priority PS,BECDers,Andrew I.,Garry N.
398155144,Download Education,Retailers,Specialty Retail,Public Sector,Doil,John H.,Garry N.
427155173,Education Employment,Smart Spaces,Architecture and Engineering,SMB,Edng,Tom F.,David B.
834158580,Employment Energy,Smart Spaces,Construction,SMC Comm,Emon,Matthew L.,David B.
568158314,Energy Entertainment,Smart Spaces,Real Estate,SMC Education,Ente,Ben Mk.,David B.
569158315,Entertainment Event,Smart Spaces,Water and Sewage,Strategic,Enge,Bilal G.,David B.
919153665,Event Fashion,Telecommunications,Hosters and ISPs,SMC Comm,EvPs,Matthew L.,Paul P.
684156430,Fashion Financial,Telecommunications,Service Providers,SMC Education,Fars,Ben Mk.,Paul P.
893158639,Financial Fitness,Travel and Transportation,Accommodation,Strategic,Fion,Bilal G.,Rita R.
903155649,Fitness Food,Travel and Transportation,Logistics and Trucking,Priority PS,Fing,Andrew I.,Rita R.
442158188,Food Fun,Travel and Transportation,Transport Services,Public Sector,Foes,John H.,Rita R.
90415650,Fun General,Banking,Banking,SMB,Fung,Tom F.,Tina Q.
892154638,General German,Banking,Capital Markets/Securities,Priority Commercial,Gees,Stelios F.,Tina Q.
969159715,German Green,Chemicals,Automotive,Priority Commercial,Geve,Stelios F.,Melina K.
 0000315-251 ,Green Hardware,Chemicals,Chemicals,Priority PS,Grls,Andrew I.,Melina K.
 0014315-111 ,Hardware Health,Consumer Goods,Consumer Goods,Public Sector,Hads,John H.,Maria J.
 0018815-66 ,Health International,Consumer Goods,Food and Beverage,SMB,Hege,Tom F.,Maria J.
2821528,International Internet,Consumer Goods,Wholesale Distribution,SMC Comm,Inon,Matthew L.,Maria J.
2881534,Internet Japanese,Defenses,National Security,SMC Education,Inty,Ben Mk.,Melpo Y.
966152712,Japanese Latin,Energy,Electricity and Gas Services,Strategic,Jaes,Bilal G.,Peter J.
43315179,Latin Manufacturing,Energy,Mining,SMC Comm,Lang,Matthew L.,Peter J.
43815184,Manufacturing Marketing,Energy,Oil and Gas,SMC Education,Maas,Ben Mk.,Peter J.
45315199,Marketing Medical,Entertainment and Media,Advertising,Strategic,Mang,Bilal G.,Pan R.
51115257,Medical Mobile,Entertainment and Media,Broadcasters,Priority PS,Mers,Andrew I.,Pan R.
55415300,Mobile Multimedia,Entertainment and Media,Publishing,Public Sector,Mong,John H.,Pan R.
57715323,Multimedia Music,Health,Health Payor,SMB,Muor,Tom F.,Ricci M.
6815814,Music Network,Health,Health Provider,Priority Commercial,Muer,Stelios F.,Ricci M.
374151120,Network New,Higher Education,Higher Education,Priority Commercial,Neon,Stelios F.,John Y.
410151156,New Operations,Insurance,Insurance Direct,Priority PS,Nect,Andrew I.,Lena I.
411151157,Operations Organization,Insurance,Insurance Other,Public Sector,Oper,John H.,Lena I.
704151450,Organization Photography,Libraries and Museums,Libraries and Museums,SMB,Orms,Tom F.,Andre D.
784151530,Photography Product,Local Government,Public Safety,SMC Comm,Phty,Matthew L.,Dan U.
825151571,Product Production,Manufacturing,Automotive,SMC Education,Prve,Ben Mk.,Helen R.
619152365,Production Real Estate,Manufacturing,High Tech and Electronics,Strategic,Prcs,Bilal G.,Helen R.
279159025,Real Estate Reference,National Government,Government Social Programs,SMC Comm,Rems,Matthew L.,Onur T.
107158853,Reference Sales,National Government,Justice,SMC Education,Rece,Ben Mk.,Onur T.
109158855,Sales Search,National Government,Public Administration,Strategic,Saon,Bilal G.,Onur T.
810159556,Search Security,National Government,Public Works and Services,Priority PS,Sees,Andrew I.,Onur T.
47153793,Security SEO,National Government,Resources and Environment,Public Sector,Sent,John H.,Onur T.
224156970,SEO Shopping,National Government,Tax and Revenue,SMB,SEue,Tom F.,Onur T.
40015146,Shopping Social,Nonprofit,Charities and Philanthropic,Priority Commercial,Shic,Stelios F.,Dexter R.
735153481,Social Spanish,Nonprofit,Membership Organizations,Priority Commercial,Sons,Stelios F.,Dexter R.
533158279,Spanish Sports,Pharmaceuticals,Pharmaceuticals,Priority PS,Spls,Andrew I.,Rob K.
121158867,Sports Technology,Primary Education,Primary Education,Public Sector,Spon,John H.,Jenna L.
234154980,Technology Telecom,Professional Services,Accounting and Consulting,SMB,Teng,Tom F.,Jemma I.
537159283,Telecom Travel,Professional Services,Data,SMC Comm,Teta,Matthew L.,Jemma I.
846158592,Travel Video,Professional Services,IT Services,SMC Education,Tres,Ben Mk.,Jemma I.
437152183,Video Odds And Ends,Professional Services,Legal Services,Strategic,Vies,Bilal G.,Jemma I.
552158298,Odds And Ends Handy Help,Professional Services,Other Services,SMC Comm,Odes,Matthew L.,Jemma I.
110151856,Handy Help Knick Knacks,Professional Services,Outsourced Services,SMC Education,Haes,Ben Mk.,Jemma I.
580154326,Knick Knacks Nick’S Knacks,Professional Services,Software,Strategic,Knre,Bilal G.,Jemma I.
813154559,Nick’S Knacks Here And There And Everywhere,Retailers,Food Service,Priority PS,Nice,Andrew I.,Garry N.
832154578,Here And There And Everywhere Etc.,Retailers,General Merchandise,Public Sector,Hese,John H.,Garry N.
855154601,Etc. Et Cetera Systems,Retailers,Grocery,SMB,Etry,Tom F.,Garry N.
143154889,Et Cetera Systems Et Cetera,Retailers,Motor Vehicle and Parts Dealers,Priority Commercial,Etrs,Stelios F.,Garry N.
243154989,Et Cetera Et Cetera Solutions,Retailers,Specialty Retail,Priority Commercial,Etil,Stelios F.,Garry N.
726152472,Et Cetera Solutions Tbd,Smart Spaces,Architecture and Engineering,Priority PS,Etng,Andrew I.,David B.
318155064,Tbd Closet Of Choices,Smart Spaces,Construction,Public Sector,Tbon,John H.,David B.
489155235,Closet Of Choices Random Reasoning,Smart Spaces,Real Estate,SMB,Clte,Tom F.,David B.
352153098,Random Assortment Assorted Assets,Telecommunications,Hosters and ISPs,SMC Education,RaPs,Ben Mk.,Paul P.
361157107,Assorted Assets Trusted Assortment,Telecommunications,Service Providers,Strategic,Asrs,Bilal G.,Paul P.
75915505,Trusted Assortment Applicable Assortment,Travel and Transportation,Accommodation,SMC Comm,Tron,Matthew L.,Rita R.
374152120,Applicable Assortment Random Row,Travel and Transportation,Logistics and Trucking,SMC Education,Apng,Ben Mk.,Rita R.
428152174,Random Row Random Reason,Travel and Transportation,Transport Services,Strategic,Raes,Bilal G.,Rita R.
254159000,Random Reason Random Riders,Banking,Banking,Priority PS,Rang,Andrew I.,Tina Q.
930151676,Random Riders Random Repair,Banking,Capital Markets/Securities,Public Sector,Raes,John H.,Tina Q.
143153889,Random Repair Random Resource,Chemicals,Automotive,SMB,Rave,Tom F.,Melina K.
273154019,Random Resource Resource Refresh,Chemicals,Chemicals,Priority Commercial,Rals,Stelios F.,Melina K.
941154687,Resource Refresh Random Refresh,Consumer Goods,Consumer Goods,Priority Commercial,Reds,Stelios F.,Maria J.
